ranking,kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,7,21409,1802,10889,11,3,0,0,0,0,0,19125,1,0,0,0,0,47977,0,43435,4331,0,162,38,428,1,30,0,2,2428
2,3,7,17563,4494,8553,8,0,0,0,0,0,0,14249,0,0,0,0,0,37381,0,78478,18503,0,213,28,326,0,26,0,3,2428
5,6,7,13537,257,3806,15,0,0,0,0,0,0,11362,0,0,0,0,0,22820,0,37045,3927,1459,17,30,475,0,89,0,4,2428
4,5,8,19737,5533,30939,6,0,0,1,0,1,0,14682,0,0,0,0,0,29437,0,21019,1720,0,212,34,278,0,28,1,0,2163
2,8,16,22809,1615,42141,8,1,4,1,0,0,1,17383,1,1,1,0,0,23194,553,38491,16085,0,72,19,310,0,41,1,1,2163
5,3,8,17577,3088,7847,8,0,0,1,0,0,0,12003,2,0,0,0,0,14016,0,23063,446,0,177,5,330,0,31,1,2,2163
1,23,6,18115,8913,35652,8,5,0,0,1,0,0,19163,3,1,0,1,1,44655,0,36058,12147,580,168,13,327,1,19,1,3,2163
3,3,27,18964,2838,4072,5,0,0,1,0,0,0,13216,3,0,0,0,0,21018,0,33205,11201,3135,82,84,188,0,73,1,4,2163
1,7,5,15638,4769,12823,7,1,0,0,0,0,0,12736,0,0,0,0,0,36203,0,36703,11950,0,206,14,275,1,14,0,0,1915
3,4,23,12600,1810,13153,9,0,0,0,0,0,0,12013,0,0,0,0,0,17053,0,35650,9952,0,33,26,336,0,16,0,1,1915
4,4,7,12855,590,1385,7,0,0,0,0,0,0,9633,0,0,0,0,0,19314,2399,17003,520,0,158,36,246,0,26,0,2,1915
2,11,9,12661,5745,7020,8,3,0,0,0,0,0,14077,0,0,0,0,0,33640,0,24129,5592,890,171,9,221,0,29,0,3,1915
5,1,13,10329,750,1034,13,0,0,0,0,0,0,7408,0,0,0,0,0,8196,320,25866,199,0,31,54,294,0,47,0,4,1915
1,11,11,22801,2969,4210,7,2,0,0,1,0,0,17616,0,0,0,0,0,44189,0,63674,34557,5670,258,24,316,0,28,0,0,2317
3,6,11,19076,629,57991,9,0,3,0,0,0,0,14264,0,0,1,0,0,19909,0,54317,19922,0,44,234,359,0,31,0,1,2317
2,12,9,21728,2714,15103,5,3,0,0,0,0,0,18129,0,0,0,0,0,36689,0,28459,2767,0,249,16,209,1,26,0,2,2317
4,4,12,17871,5847,30633,8,0,1,0,0,0,0,13799,0,0,0,0,0,14556,0,27427,8571,1040,198,2,231,0,20,0,3,2317
5,2,13,16949,117,5681,16,0,0,0,0,0,0,11124,0,0,0,0,0,19764,0,47206,8570,0,82,41,495,0,65,0,4,2317
3,4,6,16440,2228,11570,7,0,0,1,0,0,0,11199,0,0,0,0,0,23241,0,42246,14130,330,193,16,225,0,21,0,0,1939
5,3,5,13081,477,18590,7,0,2,0,1,0,0,10458,0,0,0,0,0,12995,0,34692,16861,0,25,25,207,0,27,0,1,1939
1,9,5,16221,2619,14144,7,1,0,0,0,0,0,13087,0,0,0,0,0,27962,0,20087,2159,0,179,25,224,0,20,0,2,1939
4,6,4,13723,4613,9976,10,1,0,0,0,0,0,13137,0,0,0,0,0,16435,0,21989,5669,0,214,2,287,0,21,0,3,1939
2,10,7,13635,1548,2245,8,2,0,0,0,0,0,12337,0,0,0,0,0,23120,0,19954,182,0,33,36,278,1,26,0,4,1939
5,2,0,8707,769,769,2,0,0,0,0,0,0,5601,0,0,0,0,0,7244,0,12435,1395,0,114,22,22,0,0,1,0,978
4,5,3,6242,0,4378,2,1,0,1,0,0,0,6993,0,0,0,0,0,4364,0,13386,6676,0,7,2,42,0,11,1,1,978
2,3,3,8706,285,285,2,0,0,0,1,0,0,6543,0,0,0,0,0,11274,0,7264,382,0,145,10,44,0,7,1,2,978
3,7,5,6695,2840,2840,0,1,0,0,0,0,1,7859,0,0,0,0,0,10196,0,8035,1696,0,132,7,0,0,13,1,3,978
1,3,10,5592,477,477,0,0,0,0,0,0,0,5542,0,0,0,0,0,6646,0,6482,265,0,27,24,0,0,18,1,4,978
5,2,2,9442,1063,1063,3,0,0,0,0,0,0,7501,0,0,0,0,0,10053,0,10862,1607,0,128,32,53,0,16,1,0,1240
1,10,6,10637,0,14726,2,1,2,0,0,0,0,10765,0,0,1,0,0,13228,357,19860,10594,0,19,11,33,0,19,1,1,1240
